ADDRESSCOUNTRYCODE,ADDRESSSTATECODE,CITY,FACILITYADDRESSID,FACILITYADDRESSTYPE,FACILITYID,FACILITYSTREETADDRESS1,FACILITYSTREETADDRESS2,FACILITYSTREETADDRESS3,POSTALCODE
"USA","OR","Klamath Falls","10241","","201783","Klamath Falls Field Office","2795 Anderson Ave #25","","97630"
"USA","AZ","Kingman","10245","","202052","Kingman Field Office","2755 Mission Boulevard","","86401"
"USA","AZ","Safford","10246","","202054","Safford Field Office","711 14th Avenue","","85546"
"USA","AZ","Phoenix","10247","","202055","Hassayampa Field Office","21605 N. 7th Ave","","85027"
"USA","AZ","Sierra Vista","10248","","202057","San Pedro Project Office","1763 Paseo San Luis","","85635"
"USA","ID","Salmon","10263","","202097","Salmon Field Office ","1206 South Challis Street","","83467"
"USA","NV","Reno","10266","","202109"," Palomino Valley Wild Horse and Burro Center","15780 State Route 445","","89510"
"USA","NV","Pioche","10267","","202118","NV Highway 322"," ","","89043"
"USA","NV","Ely","10268","","202121","Ely Field Office","702 North Industrial Way, HC 33 Box 33500 ","","89301"
"USA","NV","Ely","10269","","202122","Ely District Office","702 North Industrial Way, HC 33 Box 33500 ","","89301"
"USA","NV","Wells","10271","","202124","","","","89835"
"USA","UT","Hanksville","10274","","202134","Henry Mountains Field Station"," (Hanksville Office)","380 South 100 West","84734"
"USA","UT","Hanksville","10275","","202136","Henry Mountains Field Station"," (Hanksville Office)","380 South 100 West","84734"
"USA","UT","Hanksville","10276","","202137","Henry Mountains Field Station","(Hanksville Office)","380 South 100 West","84734"
"USA","UT","Vernal","10278","","202142","Vernal Field Office","170 South 500 East","","84078"
"USA","UT","St. George","10287","","202162","St. George Field Office","345 E. Riverside Drive","","84790"
"USA","UT","Kanab","10288","","202186","Kanab Field Office","318 North 100 East","","84741"
"USA","UT","Vernal","10289","","202188","Vernal Field Office","170 South 500 East","","84078"
"USA","UT","Cedar City","10290","","202194","Cedar City Field Office","176 East D.L. Sargent Drive","","84720"
"USA","UT","Salt Lake City","10291","","202202","Salt Lake Field Office","2370 South 2300 West","","84119"
"USA","UT","Escalante","10293","","202205","Escalante Field Station","PO Box 225","755 West Main Street","84726"
"USA","WY","Cody","10295","","202216","1002 Blackburn Street","","","82414"
"USA","WY","Rawlins","10297","","202225","Rawlins Field Office","1300 North Third Street","","82301"
"USA","WY","Rawlins","10299","","202230","Rawlins Field Office","1300 North Third Street","PO Box 2407","82301"
"USA","WY","Lander","10301","","202233","Lander Field Office","1335 Main Street","","82520"
"USA","WY","Pinedale","10303","","202240","Pinedale Field Office","1625 West Pine Street ","P.O. Box 768","82941"
"USA","WY","Pinedale","10304","","202241","Pinedale Field Office","1625 West Pine Street ","P.O. Box 768","82941"
"USA","AZ","Safford","10307","","202267","Safford Field Office","711 14th Avenue","","85546"
"USA","DC","Washington","10308","","202354","Smithsonian Institution","P.O. Box 37012, MRC 707","","20013-7012"
"USA","DC","Washington","10309","","202360","7th and Independence Ave, SW","","","20560"
"USA","DC","Washington","10310","","202361","950 Independence Avenue, SW","","","20560-0708"
"USA","DC","Washington","10311","","202363","10th Street and Constitution Avenue, NW","","","20560-0166"
"USA","DC","Washington","10312","","202366","2 Massachusetts Ave., N.E.","","","20002"
"USA","DC","Washington","10313","","202369","900 Jefferson Drive, SW","","","20013"
"USA","MO","Kansas City","10342","","203141","1616 East 18th Street","","","64108"
"USA","AL","Anniston","10343","","203143","P.O. Box 1587","","","36202-1587"
"USA","AZ","Tucson","10345","","203148","The University of Arizona","P.O. Box 210026","","85721"
"USA","MD","Baltimore","10347","","203152","901 West Pratt Street","","","21223-2699"
"USA","NY","New York","10349","","203157","One East 104 Street","","","10029-4495"
"USA","CA","Danville","10350","","203159","3700 Blackhawk Plaza Circle","","","94506-4652"
"USA","CA","Los Angeles","10351","","203160","700 State Drive","","","90037-1210"
"USA","CA","Oakland","10352","","203162","10000 Skyline Boulevard","","","94619"
"USA","MD","College Park","10354","","203166","1985 Cpl. Frank Scott Drive","","","20740-3836"
"USA","FL","St. Petersburg","10356","","203171","100 Second Street North","","","33701-3312"
"USA","FL","Miami","10357","","203172","University Park Campus","11200 SW 8th Street","","33199"
"USA","GA","Atlanta","10358","","203180","1280 Peachtree Street, N.E.","","","30309"
"USA","TN","Jonesborough","10360","","203184","116 West Main Street","","","37659"
"USA","VA","Montpelier Station","10361","","203186","11407 Constitution Highway","P.O. Box 67","","22957"
"USA","CA","Los Angeles","10362","","203187","369 East First Street","","","90012-3901"
"USA","HI","Captain Cook","10363","","203190","P.O. Box 398","","","96704"
"USA","NV","Las Vegas","10364","","203192","9600 West Sahara Avenue","","","89117-5959"
"USA","LA","Shreveport","10365","","203194","P.O. Box 38356","","","71133"
"USA","HI","Hilo","10366","","203196","276 Haili Street","","","96720"
"USA","FL","Tallahassee","10367","","203197","350 S. Duval Street","","","32301-1711"
"USA","AR","Hot Springs","10370","","203203","500 Mid America Blvd.","Hot Springs National Park","","71913"
"USA","PR","San Juan","10371","","203206","P.O. Box 41209","","","00940-1209"
"USA","NA","Panama","10372","","203207","San Felipe, Plaza de Independencia","","","1213 Zona "
"USA","NY","New York","10373","","203208","48 Wall Street","","","10004"
"USA","FL","Jacksonville","10374","","203210","1025 Museum Circle","","","32207-9053"
"USA","PA","Easton","10375","","203212","30 Centre Square","","","18042-7743"
"USA","PA","Philadelphia","10377","","203214","55 North 5th Street","Independence Mall East","","19106-2197"
"USA","OH","Cincinnati","10378","","203217","312 Elm Street","20th Floor","","45202"
"USA","NY","Albany","10380","","203222","Cultural Education Center","Room 3140","","12230"
"USA","NC","Raleigh","10381","","203223","11 West Jones Street","","","27601-1029"
"USA","WA","Spokane","10382","","203225","2316 West First Avenue","","","99204"
"USA","MS","Biloxi","10383","","203227","136 G. E. Ohr Street","","","39530"
"USA","TX","Arlington","10384","","203230","P.O. Box 201765","","","76006"
"USA","MD","Baltimore","10385","","203232","19 East Fayette Street, Suite 404","","","21202"
"USA","IL","Dixon","10386","","203235","816 South Hennepin Avenue","","","61021"
"USA","FL","Daytona Beach","10387","","203237","1040 Museum Boulevard","","","32114-4597"
"USA","CO","Telluride","10388","","203238","P.O. Box 3525","","","81435"
"USA","NC","Gastonia","10390","","203241","1500 East Garrison Boulevard","","","28054"
"USA","GA","Kennesaw","10391","","203243","2829 Cherokee Street","","","30144-2797"
"USA","PA","Philadelphia","10392","","203246","701 Arch Street","","","19106"
"USA","NC","Charlotte","10393","","203248","3500 Shamrock Drive","","","28215"
"USA","DC","Washington","10394","","203252","14th & Independence Avenue, SW","","","20250"
"USA","OH","Newark","10395","","203254","P. O. Box 721","","","43058-0721"
"USA","AL","Huntsville","10397","","203258","P.O. Box 070015","","","35807-7015"
"USA","PR","Gurabo","10398","","203260","P.O. Box 3030 - University Station","Road No. 189 Km. 3.3","","00778-0303"
"USA","CT","Danbury","10399","","203262","181 White Street","","","06810-6855"
"USA","WA","Seattle","10400","","203264","407 Seventh Avenue South","","","98104"
"USA","AZ","Willow Beach","10402","","203815","25804 North Willow Beach Road","HC 37, Box 17","","86445"
"USA","AR","Mammoth Spring","10403","","203817","State Park Road","P.O. Box 160","","72554"
"USA","CA","Shasta Lake","10404","","203820","16349 Shasta Dam Boulevard","","","96019"
"USA","CO","Hotchkiss,","10405","","203821","8342 Hatchery Road","","","81419"
"USA","GA","Warm Springs","10406","","203823","5308 Spring Street","","","31830"
"USA","ID","Kooskia","10407","","203826","Route 1","Box 98A","","83539"
"USA","WY","Jackson","10408","","203828","1500 Fish Hatchery Road","","","83001"
"USA","WI","Genoa","10409","","203830","S5689 State Road 35","","","54632-8836"
"USA","WA","Winthrop","10410","","203832","453A Twin Lakes Road","P.O. Box 429","","98862"
"USA","WA","Entiat","10411","","203834","6970 Entiat River Road","","","98822"
"USA","WA","Humptulips","10412","","203837","3 Sockeye Road","","","98552"
"USA","WA","Carson","10413","","203840","14041 Wind River Highway","","","98610"
"USA","VT","Bethel","10414","","203842","2086 River St.","RF 2, Box 140","","05032"
"USA","UT","Vernal","10415","","203844","1380 South 2350 West","","","84078"
"USA","TX","Uvalde","10416","","203846","754 County Road 203","P.O. Box 708","","78802"
"USA","TX","San Marcos","10417","","203847","500 East McCarty Lane","","","78666"
"USA","TX","Burnet","10418","","203848","345 County Road 117","Route 2, Box 32-B","","78611"
"USA","SC","Orangeburg","10419","","203851","427 Lakeview St.","P.O. Box 410","","29487"
"USA","OK","Tishomingo","10421","","203856","5503 W. Highway 7","Route 2, Box 480","","73460"
"USA","ND","Riverdale","10422","","203858","Fish Hatchery Road","P.O. Box 530","","58565"
"USA","NM","Mora","10423","","203860","State Highway 434, Milepost 1.5","P.O. Box 689","","87732"
"USA","NV","Gardnerville","10424","","203863","710 Highway 395","","","89410"
"USA","MO","Neosho","10425","","203868","520 E. Park Street","","","64850"
"USA","MI","Elmira","10426","","203870","6623 Turner Road","","","49730"
"USA","MA","Sunderland","10427","","203872","51 East Plumtree Road","","","01375"
"USA","ME","Ellsworth","10428","","203873","Route 180","One Hatchery Way","","04605"
"USA","KY","Jamestown","10429","","203876","50 Kendall Road","","","42629"
"USA","CO","Littleton","10444","","204077","6028 South Gallup Street","","","80120-2703"
"USA","TN","Hermitage","10446","","204082","4580 Rachel's Lane","","","37076-1344"
"USA","CA","Palm Springs","10454","","204140","471 East Tahquitz Canyon Way","","","92262"
"USA","GA","Augusta","10455","","204141","1 Tenth Street","","","30901-1134"
"USA","AZ","Surprise","10457","","204144","17420 North Avenue of the Arts","","","85374"
"USA","ID","Burley","10458","","202071","Burley Field Office","15 East 200 South","","88318"
"USA","TN","Knoxville","10459","","203174","The University of Tennessee","1327 Circle Park Drive","","37996-3200"
"USA","VA","Mount Vernon","10460","","203177","P.O. Box 110","","","22121"
"USA","KY","Lexington","10461","","203178","4435 Frankfort Pike","","","40510"
"USA","NA","Panama    Zona 1","10462","","204117","Calle Ramon H. Jurado","Punt Paitilla, Condominio Miramar","",""
"USA","PA","Bethlehem","10463","","204118","459 Old York Road","","","18018"
"USA","GA","Atlanta","10547","","205455","285 Peachtree Center Avenue","","","30303"
"USA","UT","St. George","10550","","201721","St. George Field Office","345 East Riverside Drive","","84790"
"USA","TN","Celina","10552","","201831","145 Fish Hatchery Road","","","38551"
"USA","NV","Battle Mountain","10553","","202029","Battle Mountain District Office","","50 Bastian Road ","89820"
"USA","AZ","Safford","10555","","202060","Safford Field Office","711 14th Avenue","","85546"
"USA","ID","Pocatello","10557","","202067","Pocatello Field Office","4350 Cliffs Dr","","83204"
"USA","ID","Pocatello","10558","","202069","Pocatello Field Office","4350 Cliffs Dr","","83204"
"USA","ID","Pocatello","10559","","202084","Pocatello Field Office ","4350 Cliffs Dr","","83204"
"USA","UT","Price","10565","","202133","Price Field Office","125 South 600 West","","84501"
"USA","UT","Monticello","10568","","202141","Monticello Field Office","365 North Main","","84535"
"USA","UT","Vernal","10573","","202192","Vernal Field Office","170 South 500 East","","84078"
"USA","WY","Buffalo","10578","","202221","Buffalo Field Office","1425 Fort Street","","82834"
"USA","WY","Lander","10583","","202234","Lander Field Office","1335 Main Street","","82520"
"USA","WY","Pinedale","10584","","202237","Pinedale Field Office","1625 West Pine Street ","P.O. Box 768","82941"
"USA","DC","Washington","10586","","202355","1901 Fort Place, SE","","","20020"
"USA","DC","Washington","10587","","202357","900 Jefferson Drive, SW","","","20013"
"USA","NY","New York","10588","","202358","2 East 91st Street","","","10128"
"USA","DC","Washington","10589","","202359","Hirshhorn Museum and Sculpture Garden","MRC Code 350","","20013-7012"
"USA","DC","Washington","10590","","202362","14th Street and Constitution Avenue, N.W","","","20013"
"USA","DC","Washington","10592","","202365","8th and F Streets, NW","","","20560"
"USA","DC","Washington","10594","","202368","Pennsylvania Avenue at 17th Street N.W.","","","20006"
"USA","TX","Dallas","10639","","203140","P.O. Box 150153","","","75315-0153"
"USA","TN","Oak Ridge","10640","","203142","300 South Tulane Avenue","","","37830"
"USA","OH","Akron","10641","","203145","University of Akron","Polsky Building, LL10A","","44325-4302"
"USA","AZ","Tucson","10642","","203147","949 East Second Street","","","85719-4898"
"USA","TN","Bristol","10644","","203153","P.O. Box 216","","","37621"
"USA","VA","Fairfax","10645","","203154","P.O. Box 178","","","22030"
"USA","AZ","Bisbee","10647","","203158","P.O. Box 14","No. 5 Copper Queen Plaza","","85603-0014"
"USA","CA","Cerritos","10648","","203161","18025 Bloomfield Avenue","","","90703-8578"
"USA","AZ","Peoria","10649","","203163","21170 North 83rd Avenue","","","85382"
"USA","TX","Dallas","10651","","203167","P. O. Box 150349","","","75315"
"USA","NE","Omaha","10653","","203170","801 South Tenth Street","","","68108-3299"
"USA","TX","McAllen","10656","","203183","1900 Nolana","","","78503"
"USA","KS","Hutchinson","10659","","203189","1100 North Plum","","","67501-1499"
"USA","IL","Peoria","10660","","203191","1125 West Lake Avenue","","","61614-5985"
"USA","NV","Las Vegas","10661","","203193","900 Las Vegas Boulevard North","","","89101-1112"
"USA","MI","East Lansing","10665","","203202","West Circle Drive","","","48824-1045"
"USA","CA","Pomona","10666","","203204","P.O. Box  2250","","","91769"
"USA","VA","Leesburg","10667","","203205","P.O. Box 15","","","20178-0015"
"USA","CA","Long Beach","10668","","203209","628 Alamitos Avenue","","","90802-1513"
"USA","PA","Bethlehem","10670","","203215","530 East Third Street","","","18015"
"USA","DC","Washington","10671","","203216","1156 15th Street, NW","Suite 600","","20005"
"USA","NC","Spencer","10675","","203224","411 S. Salisbury Avenue","","","28159"
"USA","LA","New Orleans","10676","","203226","P.O. Box 30706","","","70190"
"USA","MS","Jackson","10677","","203229","P.O. Box 571","","","39205-0571"
"USA","NY","New York","10681","","203236","104 East 126th Street","","","10035"
"USA","CA","San Diego","10682","","203239","P.O. Box 121390","","","92112-1390"
"USA","GA","Savannah","10685","","203245","P.O. Box 10081","","","31412"
"USA","TX","San Antonio","10686","","203247","318 West Houston","Suite 200","","78205"
"USA","NM","Ruidoso Downs","10687","","203249","P.O. Box 40","","","88346"
"USA","IA","Dubuque","10688","","203250","P.O. Box 266","Third Street Ice Harbor","","52004-0266"
"USA","TX","Dallas","10689","","203251","3800 Parry Ave.","","","75226-1752"
"USA","OH","Cleveland","10690","","203253","10825 East Boulevard","","","44106"
"USA","AZ","Tucson","10692","","203257","2025 E. Winsett Street","","","85719"
"USA","MO","Kansas City","10693","","203259","30 West Pershing, Suite 850","","","64108"
"USA","ID","Moscow","10694","","203261","University of Idaho","503 S. Asbury Street, Suite 4","","83844-4407"
"USA","MT","Billings","10695","","203263","2822 Montana Avenue","","","59101"
"USA","SC","Rock Hill","10696","","203265","4621 Mount Gallant Road","","","29732"
"USA","AR","Mountain Home","10697","","203818","1414 Highway 177 South","","","72653-9799"
"USA","CA","Anderson","10698","","203819","24411 Coleman Fish Hatchery Road","","","96007"
"USA","FL","Welaka","10699","","203822","726 Highway 309","","","32193-0130"
"USA","ID","Ahsahka","10700","","203824","4147 Ahsahka Road","","","83520"
"USA","ID","Hagerman","10701","","203825","3059-D National Fish Hatchery Rd","","","83332"
"USA","WY","Saratoga","10702","","203827","Fish Hatchery Road","County Road 207","","82331"
"USA","WI","Iron River","10703","","203829","10325 Fairview Road","","","54847"
"USA","WV","White Sulphur Springs","10704","","203831","400 East Main St.","","","24986"
"USA","WA","Leavenworth","10705","","203833","12790 Fish Hatchery Road","","","98826"
"USA","WA","Cook","10706","","203835","5501B Cook-Underwood Road","","","98605"
"USA","WA","Underwood","10707","","203836","61552 State Route 14","","","98651"
"USA","WA","Neah Bay","10708","","203838","1 Fish Hatchery Road","","","98357"
"USA","WA","Cook","10709","","203839","56961 State Route 14","","","98605"
"USA","VA","Charles City","10710","","203841","11110 Kimages Road","","","23030"
"USA","VT","North Chittenden","10711","","203843","4 Holden Road","","","05763"
"USA","UT","Vernal","10712","","203845","1380 South 2350 West","","","84078-2042"
"USA","SD","Yankton","10713","","203849","31227 436th Ave","","","57078"
"USA","SD","Spearfish","10714","","203850","423 Hatchery Circle","","","57783"
"USA","PA","Lamar","10715","","203852","308 Washington Ave. ","PO Box 155","","16848"
"USA","OR","Warm Springs","10716","","203854","1 Fish Hatchery Road","P.O. Box 790","","97761"
"USA","OR","Estacada","10717","","203855","34288 SE Rainbow Road","","","97023"
"USA","ND","Valley City","10718","","203857","11515 River Road","","","58072"
"USA","NC","Edenton","10719","","203859","P.O. Box 329","1104 W. Queen Street","","27932"
"USA","NM","Dexter","10720","","203861","P.O. Box 219","","","88230"
"USA","NH","Nashua","10721","","203862","151 Broad Street","","","03063"
"USA","MT","Kalispell","10722","","203865","780 Creston Hatchery Road","","","59901"
"USA","MI","Brimley","10723","","203869","21990 W. Trout Lane","","","49715"
"USA","ME","East Orland","10725","","203874","Hatchery Road","","","04431"
"USA","LA","Natchitoches","10726","","203875","615 Highway #1, South","","","71457"
"USA","CO","Leadville","10727","","203877","2844 Highway 300","","","80461"
"USA","FL","Miami","10749","","204078","3280 South Miami Avenue","","","33129-2832"
"USA","DC","Washington","10750","","204079","1156 15th Street, NW","Suite 600","","20005"
"USA","NJ","Newark","10751","","204081","52 Park Place","","","07102-4388"
"USA","DC","Washington","10752","","204085","1849 C St, NW","","","20240"
"USA","OK","Oklahoma City","10753","","204089","2100 North Lincoln Boulevard","","","73105-4997"
"USA","VA","Lorton","10754","","204111","10705 Belmont Blvd","","","22079"
"USA","FL","Bradenton","10757","","204143","P.O. Box 9265","","","34206"
"USA","VA","Manassas","10758","","203175","P.O. Box 568","","","20108"
"USA","TX","Dallas","10759","","203176","Love Field Terminal","LB-18","","75235"
"USA","RI","Providence","10760","","203179","222 Richmond Street, Suite 206","","","02903"
"USA","SD","Lead","10761","","204116","P.O. Box 694","","","57754"
"USA","AR","Little Rock","10822","","205456","500 President Clinton Boulevard","Suite 150","","72201"
"USA","AZ","Bullhead City","10824","","200028","Mohave County Parks Department","2251 Highway 68","","86429"
"USA","AZ","Gila Bend","10825","","202059","46101 Rocky Point Rd","","","85337"
"USA","SC","Wadmalaw Island","10857","","210632","7030 Bears Bluff Road","P.O. Box 69","","29487"
"USA","GA","Suches","10858","","210633","4730 Rock Creek Road","","","30572"
"USA","MA","Monterey","10859","","210634","P.O. Box 84","","","01245"
"FR","ILE-DE-FRANCE","Suresnes","10860","","210635","190 Blvd Washington","","","92150"
"BE","","Neupre","10861","","210636","","","","4121"
"USA","TX","College Station","10863","","200001","George Bush Presidential Library and Museum","1000 George Bush Drive West","","77845"
"USA","MD","College Park","10867","","200003","National Archives at College Park","8601 Adelphi Road","","20740-6001"
"USA","GA","Atlanta","10869","","200004","Jimmy Carter Presidential Library and Museum ","441 Freedom Parkway","","30307-1498"
"USA","KS","Abilene","10870","","200005","Dwight D. Eisenhower Presidential Library and Museum","200 SE 4th Street","","67410"
"USA","MI","Ann Arbor","10871","","200006","Gerald R. Ford Presidential Library ","1000 Beal Avenue","","48109"
"USA","MI","Grand Rapids","10872","","200007","Gerald R. Ford Presidential Museum ","303 Pearl Street NW ","","49504-5353 "
"USA","IA","West Branch","10873","","200008","Herbert Hoover Presidential Library and Museum ","210 Parkside Dr.","","52358"
"USA","MA","Boston","10875","","200010","John F. Kennedy Presidential Library and Museum ","Columbia Point","","02125-3398"
"USA","MD","College Park","10876","","200011","Richard Nixon Presidential Library and Museum","National Archives at College Park","8601 Adelphi Road","20740-6001"
"USA","CA","Simi Valley","10877","","200012","Ronald Reagan Presidential Library and Museum ","40 Presidential Drive","","93065"
"USA","MO","Independence","10878","","200013","Harry S Truman Presidential Library and Museum","500 West. US Highway 24","","64050-1798"
"USA","NY","Hyde Park","10879","","200014","Franklin D. Roosevelt Presidential Library and Museum ","4079 Albany Post Road","","12538"
"UK","","Coton","10880","","210637","","","","CB3 7PH"
"BE","","Waregem","10881","","210638","","","","8790"
"IT","","Via Cassia","10882","","210639","","","",""
"FR","","St-Avold","10883","","210640","Avenue de Fayetteville","","","57500"
"LU","","Grand Duche","10884","","210641","Val du Scheid, 50","","","2517"
"PH","","Fort Bonafacio, Makati City","10885","","210642","Mckinley Road","","",""
"NL","","Margraten","10886","","210643","","","","6269"
"FR","","Colleville-sur-Mer","10887","","210644","","","","14710"
"USA","MT","Ennis","10888","","210648","180 Fish Hatchery Road","","","59729"
"USA","TN","Erwin","10889","","210649","520 Federal Hatchery Road","","","37650"
"USA","MA","North Attleboro","10890","","210650","144 Bungay Road","","","2760"
"USA","MS","Tupelo","10891","","210651","111 E. Elizabeth St.","","","38802"
"USA","WA","Quilcene","10892","","210652","281 Fish Hatchery Road","","","98376"
"USA","MT","Bozeman","10893","","210653","4050 Bridger Canyon Road","","","59715"
"USA","OH","Wright Patterson AFB","11126","","210658","1100 Spaatz Street","","","45433"
"FR","","Belleau","12944","","212996","","","","2400"
"FR","","St-James","12945","","212997","","","","50240"
"UK","","Brookwood, Surrey","12946","","212998","","","","GU 240 BL"
"PA","","Calle Rufina Alfaro","12948","","212999","Building 6566","","",""
"FR","","Dinoze","12949","","213000","","","","88000"
"BE","","Hombourg","12950","","213001","159 Rue du Memorial Americain","","","4852"
"FR","","Romagnesous-Montfaucon","12951","","213002","","","","55110"
"ME","TX","Brownsville","12953","","213003","ABMC 225 South Vermillion Road","","","78521"
"AF","","Tunisia","12955","","213004","American Cemetery Carthage B.P. 346 Sidi Bou Said","","","2026"
"FR","","Seringes-et-Nesles","12956","","213005","DC2","","","2130"
"FR","","Draguignan","12957","","213006","533 Blvd. John F. Kennedy","","","83300"
"IT","","Nettuno (RM)","12958","","213007","Cimitero Americano Sicily-Rome","Piazzale Kennedy 1","","48"
"FR","","Bony","12959","","213008","","","","2420"
"FR","","Thiaucourt","12960","","213009","","","","54470"
"USA","CA","Yorba Linda","19070","","223022","18001 Yorba Linda Boulevard","","","92886"
"USA","DC","Washington","21618","","225589","14th & C Streets, SW","","","20228"
"USA","TX","Fort Worth","21619","","225590","9000 Blue Mound Road","","","76131"
"USA","OR","McKenzie Bridge","200243","","233376","McKenzie River Ranger Station 7600 McKenzie Highway","","","97413"
"USA","AZ","Grand Canyon","5338448","","250856","10 Albright Street","PO Box 699","","86023"
"USA","WY","Rawlins","7314720","","202231","Rawlins Field Office","1300 North Third Street","","82301"
"USA","WY","Rawlins","7314723","","202226","Rawlins Field Office","1300 North Third Street","PO Box 2407","82301"
"USA","WY","Rawlins","7314724","","202227","Rawlins Field Office","1300 North Third Street","","82301"
"USA","WY","Rawlins","7314725","","202228","Rawlins Field Office","1300 North Third Street","","82301"
"USA","ID","Salmon","7684278","","202101","Salmon Field Office ","1206 S Challis St","",""
"USA","ID","Pocatello","7684280","","202063","Pocatello Field Office","4350 Cliffs Drive","","83204"
"USA","ID","Pocatello","7684282","","202082","Pocatello Field Office","4350 Cliffs Dr","","83204"
"USA","ID","Challis","7684283","","202091","Challis Field Office","721 East Main St  Suite 8","","83226"
"USA","ID","Pocatello","7684284","","202064","Pocatello Field Office","4350 Cliffs Dr","","83204"
"USA","ID","Pocatello","7684285","","202075","Pocatello Field Office","4350 Cliffs Dr","","83204"
"USA","ID","Pocatello","7684286","","202085","Pocatello Field Office","4350 Cliffs Dr","","83204"
"USA","ID","Pocatello","7684287","","202062","Pocatello Field Office","4350 Cliffs Dr","","83204"
"USA","ID","Idaho Falls","7684291","","202083","Palisades Ranger District","Targhee National Forest","3659 East Ririe Highway","83401"
"USA","AR","Heber Springs","7982238","","201772","349 Hatchery Road","","","72543"
"USA","AZ","Pinetop","8489028","","203813","8602 N. Alchesay Fish Hatchery Rd. ","P.O. Box 2430","","85935"
"USA","PA","Warren","8489029","","203853","6616 Hemlock Rd","","","16365"
"USA","UT","Moab","8607898","","250845","Moab Field Office","82 East Dogwood","","84542"
"USA","DC","Washington","9549060","","202367","3001 Connecticut Avenue, NW","","","20008"
"USA","AL","Camden","9812598","","247795","","","",""
"USA","AL","Camden","9812599","","247796","","","",""
"USA","AK","North Pole","9812603","","247798","","","",""
"USA","AK","North Pole","9812604","","247797","","","",""
"USA","AZ","Wenden","9812605","","247799","","","",""
"USA","AR","Conway","9812606","","247800","","","",""
"USA","AR","Conway","9812607","","247801","","","",""
"USA","AR","Rogers","9812608","","247802","","","",""
"USA","AR","Rogers","9812609","","247803","","","",""
"USA","AR","Rogers","9812610","","247804","","","",""
"USA","AR","Rogers","9812611","","247805","","","",""
"USA","AR","Rogers","9812612","","247806","","","",""
"USA","AR","Rogers","9812613","","247807","","","",""
"USA","AR","Havana","9812614","","247808","","","",""
"USA","AR","Mountain Home","9812615","","247809","","","",""
"USA","AR","Mountain Home","9812616","","247810","","","",""
"USA","AR","Mountain Home","9812617","","247811","","","",""
"USA","AR","Russellville","9812618","","247812","","","",""
"USA","AR","Russellville","9812619","","247813","","","",""
"USA","AR","Russellville","9812620","","247814","","","",""
"USA","AR","Russellville","9812621","","247815","","","",""
"USA","AR","Arkadelphia","9812622","","247819","","","",""
"USA","AR","Arkadelphia","9812623","","247816","","","",""
"USA","AR","Arkadelphia","9812624","","247817","","","",""
"USA","AR","Arkadelphia","9812625","","247818","","","",""
"USA","AR","Arkadelphia","9812626","","247820","","","",""
"USA","AR","Dierks","9812627","","247821","","","",""
"USA","AR","Dierks","9812628","","247822","","","",""
"USA","AR","Heber Springs","9812629","","247824","","","",""
"USA","AR","Heber Springs","9812630","","247825","","","",""
"USA","AR","Heber Springs","9812631","","247826","","","",""
"USA","AR","Heber Springs","9812632","","247823","","","",""
"USA","AR","Heber Springs","9812633","","247829","","","",""
"USA","AR","Heber Springs","9812634","","251644","","","",""
"USA","AR","Heber Springs","9812635","","247827","","","",""
"USA","AR","Heber Springs","9812636","","247828","","","",""
"USA","AR","Murfreesboro","9812637","","247836","","","",""
"USA","AR","Murfreesboro","9812638","","247837","","","",""
"USA","AR","Murfreesboro","9812639","","247830","","","",""
"USA","AR","Murfreesboro","9812640","","247831","","","",""
"USA","AR","Murfreesboro","9812641","","247832","","","",""
"USA","AR","Murfreesboro","9812642","","247833","","","",""
"USA","AR","Murfreesboro","9812643","","247834","","","",""
"USA","AR","Murfreesboro","9812644","","247835","","","",""
"USA","AR","Murfreesboro","9812645","","247838","","","",""
"USA","AR","Murfreesboro","9812646","","247839","","","",""
"USA","AR","Ashdown","9812647","","247840","","","",""
"USA","AR","Ashdown","9812648","","247841","","","",""
"USA","AR","Ashdown","9812649","","247842","","","",""
"USA","AR","Ashdown","9812650","","247843","","","",""
"USA","AR","Ashdown","9812651","","247844","","","",""
"USA","AR","Ashdown","9812652","","247845","","","",""
"USA","AR","Ashdown","9812653","","247846","","","",""
"USA","AR","Mountain Home","9812654","","247847","","","",""
"USA","AR","Ozark","9812669","","247862","","","",""
"USA","AR","Ozark","9812670","","247863","","","",""
"USA","CA","Raymond","9812671","","251645","","","",""
"USA","CA","Raymond","9812672","","251646","","","",""
"USA","CA","Raymond","9812673","","247865","","","",""
"USA","CA","Raymond","9812674","","247864","","","",""
"USA","CA","Raymond","9812675","","251647","","","",""
"USA","CA","Raymond","9812676","","247866","","","",""
"USA","CA","Truckee","9812677","","247867","","","",""
"USA","CA","Ukiah","9812678","","247868","","","",""
"USA","CA","Los Angeles","9812679","","247869","","","",""
"USA","CA","Sanger","9812680","","247870","","","",""
"USA","CA","Sanger","9812682","","247872","","","",""
"USA","CA","Corona","9812683","","247873","","","",""
"USA","CA","Sausalito","9812684","","247874","","","",""
"USA","CA","","9812685","","247875","","","",""
"USA","CA","Porterville","9812686","","247877","","","",""
"USA","CA","Porterville","9812687","","247878","","","",""
"USA","CA","Porterville","9812688","","247876","","","",""
"USA","CO","Littleton","9812689","","247879","","","",""
"USA","CO","Littleton","9812690","","247880","","","",""
"USA","CO","Littleton","9812691","","247881","","","",""
"USA","CO","Hasty","9812692","","247882","","","",""
"USA","CO","Trinidad","9812693","","247883","","","",""
